section	key	value
inventory	git_tracked_files	579
inventory	python_files	69
inventory	go_files	56
inventory	cpp_files	70
inventory	hpp_files	50
inventory	markdown_files	107
inventory	json_files	35
top_level	q_mini_wasm_v2	279
top_level	agents	80
top_level	docs	42
top_level	scripts	39
top_level	wiki-output	38
top_level	config	22
runtime_constraint	runtime_python_surface_files	16
runtime_constraint	runtime_go_surface_files	56
runtime_constraint	runtime_cpp_surface_files	70
runtime_constraint	runtime_hpp_surface_files	50
